APARTMENT,T9_00,T9_15,9.30,9.45,10.00,10.15,10.30,10.45,11.00,11.15,11.30,11.45,12.00,12.15,12.30,12.45,1.00,1.15,1.30,1.45,2.00,2.15,2.30,2.45,3.00,15min INTERVALS,Column1
MERGED,73,79,82,85,85,88,88,91,91,91,91,94,94,94,94,97,100,100,100,100,100,100,100,100,100,24,24
2A -404 A,63,70,73,76,79,82,85,85,88,88,91,91,91,94,94,97,97,100,100,100,100,100,100,100,100,24,
2A -404 B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,29,1,
MERGED,63,70,73,76,79,82,85,85,88,88,91,91,91,94,94,97,97,100,100,100,100,100,100,100,100,24,24
2A -405,0,0,0,0,2,7,12,18,21,26,31,35,39,41,47,49,54,56,61,63,68,68,74,79,82,20,
MERGED,0,0,0,0,2,7,12,18,21,26,31,35,39,41,47,49,54,56,61,63,68,68,74,79,82,20,20
2A -406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MERGED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A -407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MERGED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A -408,0,0,0,0,0,0,0,1,3,5,8,12,19,24,28,33,38,41,44,47,50,53,52,53,51,17,
MERGED,0,0,0,0,0,0,0,1,3,5,8,12,19,24,28,33,38,41,44,47,50,53,52,53,51,17,17
2A -409 A,59,67,70,73,76,79,82,82,85,85,88,89,91,94,94,94,94,97,97,97,97,97,97,97,97,24,
2A -409 B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,28,1,
MERGED,59,67,70,73,76,79,82,82,85,85,88,89,91,94,94,94,94,97,97,97,97,97,97,97,97,24,24
2A -410 A,62,67,70,73,76,82,85,85,88,88,91,91,91,94,94,94,94,97,97,97,97,97,100,100,100,24,
2A -410 B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,29,1,
MERGED,62,67,70,73,76,82,85,85,88,88,91,91,91,94,94,94,94,97,97,97,97,97,100,100,100,24,24
2A -411 A,0,7,14,19,24,25,25,25,25,23,24,25,25,27,27,27,33,35,38,41,47,50,51,54,53,23,
2A -411 B,100,97,97,97,97,97,97,94,94,91,88,88,85,85,82,76,67,59,42,0,0,0,0,0,0,18,
MERGED,100,97,97,97,97,97,97,94,94,91,88,88,85,85,82,76,67,59,42,41,47,50,51,54,53,24,24
2A -412 A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2A -412 B,0,0,4,14,69,97,97,94,94,91,88,88,85,85,82,76,67,59,42,0,0,0,0,0,0,16,
MERGED,0,0,4,14,69,97,97,94,94,91,88,88,85,85,82,76,67,59,42,0,0,0,0,0,0,16,16
2A -501 A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2A -501 B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,
MERGED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2A -502 A,0,0,0,0,0,0,0,0,0,0,1,4,7,13,16,19,25,29,32,39,44,47,53,56,59,14,
2A -502 B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,
MERGED,0,0,0,0,0,0,0,0,0,0,1,4,7,13,16,19,25,29,32,39,44,47,53,56,59,14,14
2A -503 A,68,76,79,82,82,85,85,88,88,88,88,91,94,94,94,94,97,97,97,97,97,97,97,97,97,24,
2A -503 B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,28,1,
MERGED,68,76,79,82,82,85,85,88,88,88,88,91,94,94,94,94,97,97,97,97,97,97,97,97,97,24,24
2A -504 A,59,67,70,73,76,79,82,82,85,85,88,89,91,94,94,94,94,97,97,97,97,97,97,97,97,24,
2A -504 B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,31,1,
MERGED,59,67,70,73,76,79,82,82,85,85,88,89,91,94,94,94,94,97,97,97,97,97,97,97,97,24,24
2A -505,0,0,0,0,2,7,12,18,21,26,31,35,39,41,45,47,49,51,53,55,60,57,62,64,67,20,
MERGED,0,0,0,0,2,7,12,18,21,26,31,35,39,41,45,47,49,51,53,55,60,57,62,64,67,20,20
2A -506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MERGED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A -507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MERGED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A -508,0,0,0,0,0,0,0,1,4,8,12,16,21,26,31,36,41,44,47,50,53,53,55,55,54,17,
MERGED,0,0,0,0,0,0,0,1,4,8,12,16,21,26,31,36,41,44,47,50,53,53,55,55,54,17,17
2A -509 A,70,76,79,82,82,88,88,91,91,91,91,94,94,94,94,94,97,97,97,97,97,97,100,100,100,24,
2A -509 B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24,1,
MERGED,70,76,79,82,82,88,88,91,91,91,91,94,94,94,94,94,97,97,97,97,97,97,100,100,100,24,24
2A -510 A,63,70,73,76,79,82,85,85,88,88,91,91,91,94,94,97,97,100,100,100,100,100,100,100,100,24,
2A -510 B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,29,1,
MERGED,63,70,73,76,79,82,85,85,88,88,91,91,91,94,94,97,97,100,100,100,100,100,100,100,100,24,24
2A -511 A,0,7,14,19,24,25,25,25,25,23,23,25,25,27,27,27,33,35,38,41,47,50,51,54,53,23,
2A -511 B,97,97,97,97,97,94,91,91,88,88,85,85,82,79,73,67,62,45,25,0,0,0,0,0,0,18,
MERGED,97,97,97,97,97,94,91,91,88,88,85,85,82,79,73,67,62,45,38,41,47,50,51,54,53,24,24
2A -512 A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2A -512 B,6,36,70,97,97,94,91,91,88,88,85,85,82,79,73,67,62,45,25,0,0,0,0,0,0,18,
MERGED,6,36,70,97,97,94,91,91,88,88,85,85,82,79,73,67,62,45,25,0,0,0,0,0,0,18,18
2A -601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
